URL,sku,Categories,name,description,short_description,price,special_price,qty,is_in_stock,brand,capacity,reserve_capacity,country_of_ manufacture,length_mm,width_mm,height_mm,cca,offer,warranty,image,thumbnail,small_image
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-n200r-smf-1200058721,Dbs_565201324,Batteries,GAZELLE GOLD BATTERY N200R SMF,Description SKU: 1200058721 Brand Gazelle Gold Battery Capacity 200AH Reserve capacity 200AH Origin China Length (mm) 505 Width (mm) 265 Height (mm) 237 CCA -,GAZELLE GOLD BATTERY N200R SMF,706.00,639.0,500,1,Gazelle Gold Battery,200AH,200AH,China,505,265,237,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/1200049752,Dbs_575231645,Batteries,ZEETEX BATTERY 55B24L(NS60L) (45AH) SMF,Description SKU: 1200049752 Brand Zeetex Battery Capacity 45AH Reserve capacity 70 Origin Malaysia Length (mm) 236 Width (mm) 128 Height (mm) 220 CCA 395,ZEETEX BATTERY 55B24L(NS60L) (45AH) SMF,253.00,225.0,500,1,Zeetex Battery,45AH,70,Malaysia,236,128,220,395,Save 12%,N/A,https://www.myzdegree.com/pro-images/D7zDLYlV8L89etMKaItX6jafOhEWOB2mRvW6eRk8.jpg,https://www.myzdegree.com/pro-images/D7zDLYlV8L89etMKaItX6jafOhEWOB2mRvW6eRk8.jpg,https://www.myzdegree.com/pro-images/D7zDLYlV8L89etMKaItX6jafOhEWOB2mRvW6eRk8.jpg
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-n120r-smf-1200058718,Dbs_874465438,Batteries,GAZELLE GOLD BATTERY N120R SMF,Description SKU: 1200058718 Brand Gazelle Gold Battery Capacity 120AH Reserve capacity 120AH Origin China Length (mm) 508 Width (mm) 179 Height (mm) 236 CCA -,GAZELLE GOLD BATTERY N120R SMF,459.00,417.0,500,1,Gazelle Gold Battery,120AH,120AH,China,508,179,236,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-ns40l-%2832ah%29-smf,Dbs_879886110,Batteries,GAZELLE GOLD BATTERY NS40L (32AH) SMF,Description SKU: 1200060679 Brand Gazelle Gold Battery Capacity 32AH Reserve capacity 32AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY NS40L (32AH) SMF,185.00,165.0,500,1,Gazelle Gold Battery,32AH,32AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-nx120-7l-%2895d31l%29-%2880ah%29-smf,Dbs_886545668,Batteries,GAZELLE GOLD BATTERY NX120-7L (95D31L) (80AH) SMF,Description SKU: 1200061719 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY NX120-7L (95D31L) (80AH) SMF,357.00,326.0,500,1,Gazelle Gold Battery,80AH,80AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-nx120-7r-%2880ah%29-smf,Dbs_891692911,Batteries,GAZELLE GOLD BATTERY NX120-7R (80AH) SMF,Description SKU: 1200060686 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY NX120-7R (80AH) SMF,357.00,326.0,500,1,Gazelle Gold Battery,80AH,80AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din60-%2860ah-%29-smf,Dbs_897248705,Batteries,GAZELLE GOLD BATTERY DIN60 (60AH ) SMF,Description SKU: 1200061667 Brand Gazelle Gold Battery Capacity 60AH Reserve capacity 60AH Origin China Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN60 (60AH ) SMF,280.00,249.0,500,1,Gazelle Gold Battery,60AH,60AH,China,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din70-%2890ah-%29-smf,Dbs_902080769,Batteries,GAZELLE GOLD BATTERY DIN70 (90AH ) SMF,Description SKU: 1200061668 Brand Gazelle Gold Battery Capacity 90AH Reserve capacity 90AH Origin China Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN70 (90AH ) SMF,289.00,264.0,500,1,Gazelle Gold Battery,90AH,90AH,China,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din44-smf-1200058712,Dbs_907808216,Batteries,GAZELLE GOLD BATTERY DIN44 SMF,Description SKU: 1200058712 Brand Gazelle Gold Battery Capacity 44AH Reserve capacity 44AH Origin China Length (mm) 207 Width (mm) 175 Height (mm) 190 CCA -,GAZELLE GOLD BATTERY DIN44 SMF,204.00,182.0,500,1,Gazelle Gold Battery,44AH,44AH,China,207,175,190,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din66-smf-1200058715,Dbs_912455819,Batteries,GAZELLE GOLD BATTERY DIN66 SMF,Description SKU: 1200058715 Brand Gazelle Gold Battery Capacity 66AH Reserve capacity 66AH Origin China Length (mm) 275 Width (mm) 175 Height (mm) 175 CCA -,GAZELLE GOLD BATTERY DIN66 SMF,275.00,251.0,500,1,Gazelle Gold Battery,66AH,66AH,China,275,175,175,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
