school_name,city,contact_info
' العروبة العالمية - ابتدائي بنات مسار أمريكي (عالمي أمريكي),"الرياض,الرياض",info@ataa.sa | https://ataa.sa/
' العروبة العالمية - ثانوي بنبن مسار أمريكي (عالمي أمريكي),"الرياض,الرياض",info@ataa.sa | https://ataa.sa/
' العروبة العالمية - متوسط بنين مسار أمريكي (عالمي أمريكي),"الرياض,الرياض",
ثانوية مدارس السعد الأهلية للبنين - البرنامج الدولي (عالمي أمريكي),"الخبر,المنطقة الشرقية",regsaad@saadschools.net
متوسطة السعد الأهلية (أهلي وطني),"الخبر,المنطقة الشرقية",regsaad@saadschools.net
أبتدائية أجيال اليرموك الأهلية (أهلي وطني),"الرياض,الرياض",contact@ajyalalyarmook.com | https://www.ajyalalyarmook.com/
أبتدائية أجيال اليرموك الأهلية (أهلي وطني),"الرياض,الرياض",contact@ajyalalyarmook.com | https://www.ajyalalyarmook.com/
إبتدائية أجيالكم للبنات (أهلي وطني),"عفيف,الرياض",abdan.i.alabdan@hotmail.com
إبتدائية أجيالكم للبنين (أهلي وطني),"عفيف,الرياض",abdan.i.alabdan@hotmail.com
إبتدائية أعلام بيشة الأهلية (أهلي وطني),"بيشة,عسير",aalamschool@gmail.com | https://maps.app.goo.gl/Z9hVYAdUFz2omeH48?g_st=iw
